item_id;slug;label;descricao_semantica;grupo;tipo_valor;multiplo;valores_permitidos;obrigatorio;prioridade_base;origem_permitida;pergunta_principal;pergunta_confirmacao;pergunta_reparo;aceita_inferencia;politica_confirmacao;aceita_parcial;aceita_nao_sabe;aceita_nao_respondeu;regra_ativacao;regra_dispensa;regra_validacao;max_tentativas;usar_no_resumo
I001;nome_completo;Nome completo;Identifica o nome civil informado pelo lead;identificacao;texto;FALSO;;VERDADEIRO;90;ambos;Qual é o seu nome completo?;Só para confirmar, seu nome completo é {valor}?;Pode me informar seu nome completo novamente?;VERDADEIRO;se_confianca_media;FALSO;FALSO;FALSO;;;texto_nao_vazio;2;VERDADEIRO
I002;descricao_caso;Descrição do caso;Resumo livre do relato inicial do lead;evento;texto;FALSO;;VERDADEIRO;100;ambos;Pode me contar o que aconteceu no seu caso?;;Consegue me explicar de novo, com mais detalhes, o que aconteceu?;FALSO;nunca;VERDADEIRO;FALSO;FALSO;;;texto_minimo_10_chars;2;VERDADEIRO
I003;natureza_caso;Natureza do caso;Classifica se o caso envolve acidente de trabalho ou doença ocupacional;evento;enum;FALSO;"Acidente_Trabalho;Doenca_Ocupacional;fora_escopo";VERDADEIRO;95;ambos;Seu caso envolve acidente de trabalho ou doença desenvolvida por causa do trabalho?;Só para confirmar: foi um acidente de trabalho ou uma doença relacionada ao trabalho?;Entre essas opções, qual descreve melhor seu caso: acidente de trabalho ou doença relacionada ao trabalho?;VERDADEIRO;se_confianca_media;FALSO;FALSO;FALSO;;;valor_em_lista;2;VERDADEIRO
I004;nexo_trabalho;Relação com o trabalho;Indica se o próprio lead relaciona o problema ao trabalho;elegibilidade;booleano;FALSO;"sim;nao;nao_sabe";VERDADEIRO;100;ambos;Na sua visão, esse problema aconteceu por causa do trabalho ou foi agravado por ele?;Só para confirmar: você relaciona esse problema ao seu trabalho?;Quero confirmar esse ponto: você entende que isso tem relação com o seu trabalho?;VERDADEIRO;se_confianca_media;FALSO;VERDADEIRO;FALSO;;;booleano_sim_nao;2;VERDADEIRO
I005;ocupacao_evento;Ocupação na data do evento;Profissão ou função exercida quando ocorreu o evento ou quando a doença se manifestou;vinculo;texto;FALSO;;VERDADEIRO;80;ambos;Qual era sua ocupação ou função nessa época?;Só para confirmar: sua função era {valor}?;Pode me dizer sua profissão ou função exata nessa época?;VERDADEIRO;se_confianca_media;VERDADEIRO;FALSO;FALSO;;tipo_vinculo=desempregado;texto_nao_vazio;2;VERDADEIRO
I006;tipo_vinculo;Tipo de vínculo;Situação de trabalho do lead na data do evento;vinculo;enum;FALSO;"CLT;Autonomo;MEI;Desempregado;Trabalhador_Rural;Aposentado;Menor_Idade";VERDADEIRO;95;ambos;Na data do evento, você estava com carteira assinada, era autônomo, MEI, desempregado, trabalhador rural, aposentado ou menor de idade?;Só para confirmar: nessa data sua situação era {valor}?;Quero confirmar sua situação na data do evento. Qual dessas opções se aplica melhor?;VERDADEIRO;se_confianca_media;FALSO;FALSO;FALSO;;;valor_em_lista;2;VERDADEIRO
I007;tempo_desempregado;Tempo desempregado;Faixa de tempo sem vínculo formal na data do evento;vinculo;enum;FALSO;"menos_12_meses;mais_12_meses;nao_sabe";FALSO;75;chat;Na data do evento, você estava desempregado há menos de 12 meses ou há mais de 12 meses?;Você estava desempregado há menos de 12 meses ou há mais de 12 meses?;Pode me dizer se o desemprego era de menos de 12 meses ou mais de 12 meses?;VERDADEIRO;se_confianca_media;FALSO;VERDADEIRO;FALSO;tipo_vinculo = Desempregado;;valor_em_lista;1;FALSO
I008;data_evento;Data do evento;Data do acidente ou marco principal da doença;evento;data;FALSO;;VERDADEIRO;90;ambos;Em que data aconteceu o acidente ou quando esse problema começou?;Só para confirmar: a data foi {valor}?;Pode me informar a data da forma mais aproximada possível?;VERDADEIRO;se_confianca_media;VERDADEIRO;VERDADEIRO;FALSO;;;data_nao_futura;2;VERDADEIRO
I009;houve_cirurgia;Houve cirurgia;Indica se o lead passou por cirurgia relacionada ao caso;saude;booleano;FALSO;"sim;nao;nao_sabe";FALSO;55;ambos;Você precisou fazer cirurgia por causa disso?;Só para confirmar: houve cirurgia?;Quero confirmar esse ponto: você fez cirurgia relacionada a esse problema?;VERDADEIRO;se_confianca_media;FALSO;VERDADEIRO;VERDADEIRO;;;booleano_sim_nao;1;VERDADEIRO
I010;houve_sequela;Sequela ou limitação;Indica se o lead relata sequela, dor crônica, perda de força ou limitação funcional;saude;booleano;FALSO;"sim;nao;nao_sabe";VERDADEIRO;100;ambos;Ficou alguma sequela, limitação de movimento, dor crônica ou perda de força?;Só para confirmar: ficou alguma sequela ou limitação?;Quero confirmar se ficou alguma limitação permanente ou recorrente.;VERDADEIRO;se_confianca_media;VERDADEIRO;VERDADEIRO;FALSO;;;booleano_sim_nao;2;VERDADEIRO
I011;reducao_capacidade;Redução de capacidade laboral;Indica se o lead relata piora ou perda de capacidade para trabalhar;elegibilidade;booleano;FALSO;"sim;nao;nao_sabe";VERDADEIRO;100;ambos;Isso diminuiu sua capacidade de trabalhar ou de exercer sua função?;Só para confirmar: sua capacidade de trabalhar diminuiu?;Quero confirmar esse ponto: hoje isso atrapalha seu trabalho?;VERDADEIRO;se_confianca_media;FALSO;VERDADEIRO;FALSO;houve_sequela = sim;houve_sequela = nao;booleano_sim_nao;2;VERDADEIRO
